label	message
spam	did you hear about the new divorce barbie it comes with all of kens stuff
ham	stupidits not possible
ham	got it it looks scrumptious daddy wants to eat you all night long
ham	never blame a day in ur life good days give u happiness bad days give u experience both are essential in life all are gods blessings good morning
spam	text get more ringtones logos and games from wwwtxtcom questions infotxtcouk
ham	night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay gud mrng
ham	no gifts you trying to get me to throw myself off a cliff or something
ham	ill let you know when it kicks in
ham	sure i am driving but will reach my destination soon
ham	alright were hooked up where you guys at
ham	tell where you reached
spam	private your account statement for shows unredeemed s i m points call identifier code expires
ham	she was supposed to be but couldnt make it shes still in town though
ham	you intrepid duo you have a great time and see you both soon
ham	how is it possible to teach you and where
ham	hahahause your brain dear
spam	you are guaranteed the latest nokia phone a gb ipod mp player or a prize txt word collect to no ibhltd ldnwh pmtmsgrcvd
ham	thinking of u x
ham	here got lots of hair dresser fr china
ham	hi dahow is the todays class
ham	how do you plan to manage that
ham	watching tv lor nice one then i like lor
ham	goodmorning today i am late for ltgt min
ham	i know dat feelin had it with pete wuld get with em nuther place nuther time mayb
ham	watever relation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories feeling
spam	congratulations ur awarded either of cd gift vouchers free entry our weekly draw txt music to tncs wwwldewcomwinppmxage
ham	the gas station is like a block away from my house youll drive right by it since armenia ends at swann and you have to take howard
ham	i cant pick the phone right now pls send a message
ham	did either of you have any ideas do you know of anyplaces doing something
ham	no problem with the renewal ill do it right away but i dont know his details
ham	wat uniform in where get
ham	hellodrivbyquit edrunk sorry iff pthis makes no senrddnot no how dancce drum n basqihave fun nhite x ros xxxxxxx
ham	wait ltgt min
spam	thanks your continued support your question this week will enter u in our draw cash name the new us president txt ans to
ham	im home
ham	where is it is there any opening for mca
ham	its a big difference ltgt versus ltgt every ltgt hrs
ham	lol your always so convincing
ham	i doubt you could handle times per night in any case
ham	some of them told accenture is not confirm is it true
ham	hi darlin ive just got back and i had a really nice night and thanks so much for the lift see u tomorrow xxx
ham	gud mrng dear hav a nice day
ham	im not smoking while people use wylie smokes too much to justify ruining my shit
spam	win a shopping spree every week starting now play text store to skilgme tscs winawk age perweeksub
ham	i think u have the wrong number
ham	hi here have birth at on the to at lb oz mother and baby doing brilliantly
spam	congrats nokia video camera phone is your call calls cost ppm ave call mins vary from mobiles close post bcm ldn wcnxx
ham	except theres a chick with huge boobs
spam	please call our customer service representative on between ampm as you have won a guaranteed cash or prize
ham	hi test on ltgt rd
ham	are you free nowcan i call now
ham	hello baby did you get back to your moms are you setting up the computer now filling your belly how goes it loverboy i miss you already sighs
spam	urgent your mobile number has been awarded with a prize guaranteed call from land line claim valid hrs only ppm
spam	sms auction a brand new nokia is up auction today auction is free join take part txt nokia to now hgsuitelands rowwjhl
ham	kkhow is your business now
ham	kkhow much does it cost
ham	haf u eaten wat time u wan me come
ham	mmmmm it was sooooo good to wake to your words this morning my love mmmm fuck i love you too my lion devouring kiss from across the sea
ham	yes i know the cheesy songs from frosty the snowman
ham	is it ok if i stay the night here xavier has a sleeping bag and im getting tired
ham	idk you keep saying that youre not but since he moved we keep butting heads over freedom vs responsibility and im tired i have so much other shit to deal with that im barely keeping myself together once this gets added to it
ham	okies ill go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah
ham	im watching lotr w my sis dis aft so u wan meet me dinner at nite a not
ham	i am in escape theatre now going to watch kavalan in a few minutes
ham	do not b late love mum
spam	for ur chance to win a cash every wk txt action to tscs wwwmovietriviatv custcare xpwk
ham	shall i come to get pickle
ham	i am waiting for your call sir
ham	the baskets gettin full so i might be by tonight
ham	neshanthtel me who r u
ham	well its not like you actually called someone a punto that woulda been worse
ham	is ur changes da report big cos ive already made changes da previous report
ham	st andre virgils cream
spam	had your contract mobile mnths latest motorola nokia etc all free double mins text on orange tariffs text yes for callback no to remove from records
ham	have a good trip watch out for remember when you get back we must decide about easter
ham	pls come quick cant bare this
ham	yessura in sun tvlol
ham	im parked next to a mini when are you coming in today do you think
ham	enjoy the showers of possessiveness poured on u by ur loved ones bcoz in this world of lies it is a golden gift to be loved truly
spam	freemsg month unlimited free calls activate smartcall txt call to no subscriptngbpwk unlimited calls help stoptxt stop landlineonly
ham	that way transport is less problematic than on sat night by the way if u want to ask n to join my bday feel free but need to know definite nos as booking on fri
ham	thankyou so much for the call i appreciate your care
ham	yes rent is very expensive so its the way we save
ham	morning only i can ok
ham	sorry went to bed early nightnight
spam	sms ac blind date u rodds is m from aberdeen united kingdom check him out httpimg sms acwicmbcktzr no blind dates send hide
ham	hi babe its me thanks for coming even though it didnt go that welli just wanted my bed hope to see you soon love and kisses xxx
ham	we left already we at orchard now
ham	hope you are not scared
ham	is it your yahoo boys that bring in the perf or legal
ham	im working technical support voice process
spam	ringtoneking
ham	aight thatll work thanks
ham	aight let me know when youre gonna be around usf
ham	just finished eating got u a plate not leftovers this time
ham	i got like ltgt i can get some more later though get whatever you feel like
ham	then ask dad to pick up lar wan stay until meh
ham	i am in escape theatre now going to watch kavalan in a few minutes
ham	dad went out oredi
ham	he neva grumble but i sad lor hee buy tmr lor aft lunch but we still meetin lunch tmr a not neva hear fr them lei got a lot of work ar
ham	lol ok ill try to send be warned sprint is dead slow youll prolly get it tomorrow
ham	lol grr my mom is taking forever with my prescription pharmacy is like minutes away ugh
ham	same here but i consider walls and bunkers and shit important just because i never play on peaceful but i guess your place is high enough that it dont matter
ham	its okcome to my home it vl nice to meet and v can chat
spam	u can win of music gift vouchers every week starting now txt the word draw to tscs wwwldewcom skillgamewinaweek ageppermesssubscription
ham	ok lor then we go tog lor
ham	so what u doing today
spam	congratulations youve won youre a winner in our august prize draw call now prize code
spam	mobile club choose any of the top quality items for your mobile cfcaa
ham	then any special there
ham	wiskey brandy rum gin beer vodka scotch shampain wine kudiyarasu dhina vaazhthukkal
ham	do u noe wat time e place dat sells d closes
ham	rajipls do me a favour pls convey my birthday wishes to nimya pls today is her birthday
ham	were all getting worried over here derek and taylor have already assumed the worst
ham	where are you what are you doing are yuou working on getting the pc to your moms did you find a spot that it would work i need you
ham	eh ur laptop got no stock lei he say mon muz come again to take a look c got a not
ham	whats a feathery bowa is that something guys have that i dont know about
ham	just sent it so what type of food do you like
ham	i cant talk to you nowi will call when i candont keep calling
ham	aight what time you want me to come up
ham	i think that tantrums finished so yeah ill be by at some point
ham	good do you think you could send me some pix i would love to see your top and bottom
ham	ok lor
ham	why dont you go tell your friend youre not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
ham	ladies first and genus second k
spam	private your account statement for fone no shows unredeemed s i m points call identifier code expires
ham	beautiful tomorrow never comes when it comes its already today in the hunt of beautiful tomorrow dont waste your wonderful today goodmorning
ham	shuhui say change suntec steamboat u noe where where r u now
ham	okie thanx
ham	awesome plan to get here any time after like ltgt ill text you details in a wee bit
ham	whenwhere do i pick you up
